ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Contribution_ID,Glottocode_in_dataset,Language_name_in_dataset
laku1238-five,laku1238,five,lima,,,chan2019,chan2019,laku1238,"Lakumarau, Papua New Guinea"
nali1244-five,nali1244,five,avatmit,,,barlowpacific,barlowpacific,nali1244,Nalik (Madina)
nali1244-hand,nali1244,hand,mit,,,abvd,abvd,nali1244,Nalik
nots1237-five,nots1237,five,lima,,,barlowpacific,barlowpacific,nots1237,Notsi
nots1237-hand,nots1237,hand,lima-,,,barlowpacific,barlowpacific,nots1237,Notsi
mand1440-five,mand1440,five,naparirima,,,abvd,abvd,mand1440,Madara
mand1440-hand,mand1440,hand,rima-na,,,abvd,abvd,taba1261,Tabar
lihi1237-five,lihi1237,five,a liem,,,abvd,abvd,lihi1237,Lihir (Sunglik)
lihi1237-hand,lihi1237,hand,a liman,,,abvd,abvd,lihi1237,Lihir (Sunglik)
lava1239-five,lava1239,five,lima,,,barlowpacific,barlowpacific,lava1239,Lavatbura-Lamusong
lava1239-hand,lava1239,hand,guma,,,abvd,abvd,lamu1255,Lamusong
baro1253-five,baro1253,five,pitno,,,abvd,abvd,baro1253,Barok
baro1253-hand,baro1253,hand,himine,,,abvd,abvd,baro1253,Barok
mada1285-five,mada1285,five,limo,,,barlowpacific,barlowpacific,mada1285,Madak (Alternative system used in both Malom and Katingan areas)
mada1285-hand,mada1285,hand,lengen,,,abvd,abvd,mada1285,Madak
kuan1248-five,kuan1248,five,ilima,,,barlowpacific,barlowpacific,kuan1248,Blanchebucht
kuan1248-hand,kuan1248,hand,limana,,,abvd,abvd,kuan1248,Tolai
mini1251-five,mini1251,five,ai lima,,,abvd,abvd,mini1251,Lunga Lunga  (Minigir)
mini1251-hand,mini1251,hand,lima,,,abvd,abvd,mini1251,Lunga Lunga  (Minigir)
patp1243-five,patp1243,five,liman,,,chan2019,chan2019,patp1243,"Patpatar, Papua New Guinea"
patp1243-hand,patp1243,hand,lima,,,abvd,abvd,patp1243,Patpatar
bilu1244-five,bilu1244,five,lima,,,abvd,abvd,bilu1244,Bilur
bilu1244-hand,bilu1244,hand,a kuna,,,abvd,abvd,bilu1244,Bilur
labe1239-five,labe1239,five,lima,,,abvd,abvd,labe1239,Label
labe1239-hand,labe1239,hand,ku,,,abvd,abvd,labe1239,Label
kand1301-five,kand1301,five,lima-,,,abvd,abvd,kand1301,Kandas
kand1301-hand,kand1301,hand,a lama-,,,abvd,abvd,kand1301,Kandas
ramo1244-five,ramo1244,five,lima,,,abvd,abvd,ramo1244,Ramoaaina
ramo1244-hand,ramo1244,hand,lima,,,abvd,abvd,ramo1244,Ramoaaina
siar1238-five,siar1238,five,i lim,,,chan2019,chan2019,siar1238,"Siar-Lak, Papua New Guinea"
siar1238-hand,siar1238,hand,liman,,,abvd,abvd,siar1238,Siar
surs1246-five,surs1246,five,lim,,,abvd,abvd,surs1246,Sursurunga
surs1246-hand,surs1246,hand,limə,,,abvd,abvd,surs1246,Sursurunga
kono1269-five,kono1269,five,lima,,,barlowpacific,barlowpacific,kono1269,Konomala (Konomala dialect)
kono1269-hand,kono1269,hand,kuk,,,barlowpacific,barlowpacific,kono1269,Konomala (Konomala dialect)
tang1348-five,tang1348,five,lim,,,abvd,abvd,anir1237,Tangga (Feni)
tang1348-hand,tang1348,hand,lima,,,abvd,abvd,anir1237,Tangga (Feni)
hako1237-five,hako1237,five,(lim),,,barlowpacific,barlowpacific,hako1237,Halia (Haku dialect)
hako1237-hand,hako1237,hand,walima,,,abvd,abvd,hako1237,Haku
hali1244-five,hali1244,five,lima,,,barlowpacific,barlowpacific,hali1244,Halia (Hanahan dialect)
hali1244-hand,hali1244,hand,lima,,,abvd,abvd,hali1244,Halia (Selau)
peta1245-five,peta1245,five,lim,,,chan2019,chan2019,peta1245,"Petats, Papua New Guinea"
sapo1253-five,sapo1253,five,a nima,,,chan2019,chan2019,sapo1253,"Taiof, Papua New Guinea"
sapo1253-hand,sapo1253,hand,nima-naih,,,abvd,abvd,sapo1253,Taiof
haho1237-five,haho1237,five,'taunima,,,chan2019,chan2019,haho1237,"Hahon, Papua New Guinea"
teop1238-five,teop1238,five,taonim,,,barlowpacific,barlowpacific,teop1238,Teop
teop1238-hand,teop1238,hand,kurina,,,abvd,abvd,teop1238,Teop
tinp1237-five,tinp1237,five,tonim,,,barlowpacific,barlowpacific,tinp1237,Timputz (Timputz dialect: Tsisiko village)
tinp1237-hand,tinp1237,hand,koteniah,,,barlowpacific,barlowpacific,tinp1237,Timputz (Timputz dialect: Romsis village)
neha1247-five,neha1247,five,tolima,,,abvd,abvd,neha1247,Nehan
neha1247-hand,neha1247,hand,liman,,,abvd,abvd,neha1247,Nehan Hape
papa1265-five,papa1265,five,papaⁱ-taᵘ-nima,,,chan2019,chan2019,papa1265,"Papapana, Papua New Guinea"
solo1257-five,solo1257,five,tanim,,,barlowpacific,barlowpacific,solo1257,Solos
solo1257-hand,solo1257,hand,mo mina uh,,,abvd,abvd,solo1257,Solos
bann1247-five,bann1247,five,ghinima,,,abvd,abvd,bann1247,Banoni
bann1247-hand,bann1247,hand,numa-,,,abvd,abvd,bann1247,Banoni
lawu1237-five,lawu1237,five,'nima,,,barlowpacific,barlowpacific,lawu1237,Piva
lawu1237-hand,lawu1237,hand,numa-gu,,,abvd,abvd,lawu1237,Piva
mono1273-five,mono1273,five,lima,,,abvd,abvd,aluu1243,Mono (Alu)
mono1273-hand,mono1273,hand,ime-,,,abvd,abvd,mono1274,Mono
tora1259-five,tora1259,five,nima,,,abvd,abvd,tora1259,Torau
tora1259-hand,tora1259,hand,baela,,,abvd,abvd,tora1259,Torau
urua1242-five,urua1242,five,rima,,,barlowpacific,barlowpacific,urua1242,Uruava
urua1242-hand,urua1242,hand,kabe-na,,,abvd,abvd,urua1242,Uruava
riri1237-five,riri1237,five,lima,,,abvd,abvd,riri1237,Ririo
riri1237-hand,riri1237,hand,körs,,,abvd,abvd,riri1237,Ririo
baba1268-five,baba1268,five,lima,,,abvd,abvd,baba1268,Babatana (Tunöe)
baba1268-hand,baba1268,hand,kərisi,,,abvd,abvd,seng1280,Sengga
sisi1250-five,sisi1250,five,lɨma,,,abvd,abvd,sisi1250,Sisingga
sisi1250-hand,sisi1250,hand,körisía,,,abvd,abvd,sisi1250,Sisingga
vagh1249-five,vagh1249,five,kaləma,,,abvd,abvd,vagh1249,Vaghua
vagh1249-hand,vagh1249,hand,ləma-,,,abvd,abvd,vagh1249,Vaghua
vari1239-five,vari1239,five,kalima,,,abvd,abvd,vari1239,Varisi
vari1239-hand,vari1239,hand,karisi-na,,,abvd,abvd,vari1239,Varisi
maro1244-five,maro1244,five,limɑ,,,chan2019,chan2019,maro1244,"Marovo, Solomon Islands"
maro1244-hand,maro1244,hand,lima-,,,abvd,abvd,maro1244,Marovo
vang1243-five,vang1243,five,lima,,,abvd,abvd,vang1243,Vangunu
vang1243-hand,vang1243,hand,lima-na,,,abvd,abvd,bare1273,Mbareke
hoav1238-five,hoav1238,five,lima,,,abvd,abvd,hoav1238,Hoava
hoav1238-hand,hoav1238,hand,reŋgu-,,,abvd,abvd,hoav1238,Hoava
kusa1251-five,kusa1251,five,lima,,,abvd,abvd,kusa1251,Kusaghe
kusa1251-hand,kusa1251,hand,reŋgu-na,,,abvd,abvd,kusa1251,Kusaghe
rovi1238-five,rovi1238,five,lima,,,abvd,abvd,rovi1238,Roviana
rovi1238-hand,rovi1238,hand,lima-na,,,abvd,abvd,rovi1238,Roviana
ughe1237-five,ughe1237,five,lima,,,abvd,abvd,ughe1237,Ughele
ughe1237-hand,ughe1237,hand,kambele-na,,,abvd,abvd,ughe1237,Ughele
kazu1245-five,kazu1245,five,limoni,,,abvd,abvd,kazu1245,Kazukuru
kazu1245-hand,kazu1245,hand,vonili,,,abvd,abvd,kazu1245,Kazukuru
duke1237-five,duke1237,five,lima,,,abvd,abvd,duke1237,Nduke
duke1237-hand,duke1237,hand,hɛhe-na,,,abvd,abvd,duke1237,Nduke
ghan1242-five,ghan1242,five,lima,,,abvd,abvd,ghan1242,Ghanongga
ghan1242-hand,ghan1242,hand,lima,,,abvd,abvd,kubo1244,Kubokota
lung1249-five,lung1249,five,lima,,,abvd,abvd,lung1249,Luqa
lung1249-hand,lung1249,hand,lima,,,abvd,abvd,lung1249,Luqa
simb1256-five,simb1256,five,lima,,,abvd,abvd,simb1256,Simbo
simb1256-hand,simb1256,hand,lima,,,abvd,abvd,simb1256,Simbo
lagh1246-five,lagh1246,five,gaɔha,,,abvd,abvd,lagh1246,Laghu (Samasodu)
lagh1246-hand,lagh1246,hand,gigirɔ-na,,,abvd,abvd,lagh1246,Laghu (Samasodu)
zaba1237-five,zaba1237,five,gahaɣu,,,abvd,abvd,zaba1237,Zabana (Kia)
zaba1237-hand,zaba1237,hand,kame-,,,abvd,abvd,zaba1237,Zabana (Kia)
koko1269-five,koko1269,five,ɣŋɣŋau,,,abvd,abvd,koko1269,Kokota
koko1269-hand,koko1269,hand,kame,,,abvd,abvd,koko1269,Kokota
blab1237-five,blab1237,five,glima,,,abvd,abvd,blab1237,Blablanga
blab1237-hand,blab1237,hand,khame,,,abvd,abvd,blab1237,Blablanga (Ghove)
zaza1245-five,zaza1245,five,gaha,,,abvd,abvd,zaza1245,Kilokaka (Ysabel)
zaza1245-hand,zaza1245,hand,kʰame-,,,abvd,abvd,zaza1245,Kilokaka (Ysabel)
chek1238-five,chek1238,five,glima,,,abvd,abvd,mari1427,Maringe (Leleghia)
chek1238-hand,chek1238,hand,khame,,,abvd,abvd,chek1238,Cheke Holo
gaoo1237-five,gaoo1237,five,lima,,,barlowpacific,barlowpacific,gaoo1237,"Ysabel Island, Gao [ŋgao]"
gaoo1237-hand,gaoo1237,hand,khame-ña,,,abvd,abvd,gaoo1237,Nggao (Poro)
bugh1239-five,bugh1239,five,lima,,,abvd,abvd,bugh1239,Bughotu
bugh1239-hand,bugh1239,hand,lima,,,abvd,abvd,bugh1239,Bughotu
gela1263-five,gela1263,five,lima,,,abvd,abvd,gela1263,Nggela
gela1263-hand,gela1263,hand,lima,,,abvd,abvd,gela1263,Nggela
ghar1239-five,ghar1239,five,čeɣe,,,abvd,abvd,gaee1238,Ghari (Nggae)
ghar1239-hand,ghar1239,hand,lima-,,,abvd,abvd,ghar1239,Ghari
leng1259-five,leng1259,five,lima,,,abvd,abvd,leng1259,Lengo
leng1259-hand,leng1259,hand,lima,,,abvd,abvd,ghai1237,Lengo (Ghaimuta)
mala1484-five,mala1484,five,čehe,,,abvd,abvd,mala1484,Malango
mala1484-hand,mala1484,hand,lima-na,,,abvd,abvd,mala1484,Malango
tali1259-five,tali1259,five,lima,,,abvd,abvd,moli1247,Talise (Moli)
tali1259-hand,tali1259,hand,lima,,,abvd,abvd,tolo1254,Tolo
bira1254-five,bira1254,five,lima,,,abvd,abvd,bira1254,Mbirao
bira1254-hand,bira1254,hand,lima-na,,,abvd,abvd,bira1254,Mbirao
long1395-five,long1395,five,lima,,,abvd,abvd,long1395,Longgu
long1395-hand,long1395,hand,lima,,,abvd,abvd,long1395,Longgu
gula1270-five,gula1270,five,nima,,,abvd,abvd,gula1270,Kwai
gula1270-hand,gula1270,hand,aba,,,abvd,abvd,gula1270,Kwai
kwai1243-five,kwai1243,five,nima,,,abvd,abvd,kwai1243,Kwaio
kwai1243-hand,kwai1243,hand,nima-na,,,abvd,abvd,kwai1243,Kwaio
kwar1239-five,kwar1239,five,lima,,,abvd,abvd,kwar1239,Kwara'ae (Solomon Islands')
kwar1239-hand,kwar1239,hand,lima,,,abvd,abvd,kwar1239,Kwara'ae (Solomon Islands')
baeg1237-five,baeg1237,five,lima,,,abvd,abvd,baeg1237,Mbaengguu
baeg1237-hand,baeg1237,hand,amba-na,,,abvd,abvd,baeg1237,Mbaengguu
bael1237-five,bael1237,five,lima,,,abvd,abvd,bael1237,Mbaelelea
bael1237-hand,bael1237,hand,aba,,,abvd,abvd,bael1237,Mbaelelea
fata1245-five,fata1245,five,lima,,,abvd,abvd,fata1245,Fataleka
fata1245-hand,fata1245,hand,amba-na,,,abvd,abvd,fata1245,Fataleka
lauu1247-five,lauu1247,five,lima,,,abvd,abvd,lauu1247,Lau (North)
lauu1247-hand,lauu1247,hand,aba-na,,,abvd,abvd,lauu1247,Lau (North)
toab1237-five,toab1237,five,lima,,,abvd,abvd,toab1237,To'ambaita
toab1237-hand,toab1237,hand,amba-na,,,abvd,abvd,toab1237,To'ambaita
wala1266-five,wala1266,five,nima,,,abvd,abvd,wala1266,Langalanga
wala1266-hand,wala1266,hand,nima-la,,,abvd,abvd,wala1266,Langalanga
area1240-five,area1240,five,nima,,,abvd,abvd,area1240,'Are'are (Waiahaa Village)
area1240-hand,area1240,hand,kaikaʔi-na,,,abvd,abvd,area1240,'Are'are (Ma'asupa Village)
dori1246-five,dori1246,five,nima,,,abvd,abvd,dori1246,Dori'o
dori1246-hand,dori1246,hand,gagaʔu-na,,,abvd,abvd,dori1246,Dori'o
oroh1237-five,oroh1237,five,nima,,,abvd,abvd,oroh1237,Oroha
oroh1237-hand,oroh1237,hand,kikiʔina,,,abvd,abvd,oroh1237,Oroha
saaa1240-five,saaa1240,five,lima,,,chan2019,chan2019,saaa1240,"Sa'a, Solomon Islands"
saaa1240-hand,saaa1240,hand,lima,,,abvd,abvd,ukin1237,Sa'a (Uki Ni Masi)
aros1241-five,aros1241,five,rima,,,abvd,abvd,aros1241,Arosi (Tawatana Village)
aros1241-hand,aros1241,hand,rima-na,,,abvd,abvd,aros1241,Arosi (Tawatana Village)
baur1252-five,baur1252,five,rima,,,abvd,abvd,rawo1242,Rawo
baur1252-hand,baur1252,hand,rima-na,,,abvd,abvd,baur1252,Bauro (Baroo Village)
faga1239-five,faga1239,five,rima,,,abvd,abvd,aguf1237,Fagani (Agufi)
faga1239-hand,faga1239,hand,rima-na,,,abvd,abvd,aguf1237,Fagani (Agufi)
kahu1241-five,kahu1241,five,rima,,,abvd,abvd,kahu1241,Kahua (Mami)
kahu1241-hand,kahu1241,hand,ruma-na,,,abvd,abvd,kahu1241,Tawaroga
owaa1237-five,owaa1237,five,rima,,,abvd,abvd,sant1413,Santa Catalina
owaa1237-hand,owaa1237,hand,rima,,,abvd,abvd,sant1413,Santa Catalina
ayiw1239-five,ayiw1239,five,vili,,,abvd,abvd,ayiw1239,Äiwoo
ayiw1239-hand,ayiw1239,hand,nyime,,,abvd,abvd,ayiw1239,Äiwoo
nang1262-five,nang1262,five,məpũ,,,chan2019,chan2019,nang1262,"Enɡdewu (Naɡu), Solomon Islands"
nang1262-hand,nang1262,hand,nümü,,,abvd,abvd,nang1262,Nanggu
nalo1235-five,nalo1235,five,nɵulʉn,,,chan2019,chan2019,nalo1235,"Nalöɡo (Nalɵgo), Solomon Islands"
natu1246-five,natu1246,five,na vlu nu,,,barlowpacific,barlowpacific,natu1246,"Santa Cruz, Deni"
natu1246-hand,natu1246,hand,mü,,,abvd,abvd,natu1246,"Lwepe, Santa Cruz"
vano1237-five,vano1237,five,teli,,,abvd,abvd,vano1237,Vano
vano1237-hand,vano1237,hand,me,,,abvd,abvd,vano1237,Vano
tane1237-five,tane1237,five,teli,,,chan2019,chan2019,tane1237,"Tanema, Solomon Islands"
tane1237-hand,tane1237,hand,me,,,abvd,abvd,tane1237,Tanema
tean1237-five,tean1237,five,tili,,,abvd,abvd,tean1237,Buma
tean1237-hand,tean1237,hand,ma,,,abvd,abvd,tean1237,Teanu
amba1266-five,amba1266,five,hāŋi,,,abvd,abvd,amba1266,Nembao
amba1266-hand,amba1266,hand,mbiɔ,,,abvd,abvd,amba1266,Nembao
asum1237-five,asum1237,five,sini,,,abvd,abvd,asum1237,Asumboa
asum1237-hand,asum1237,hand,nama‐ŋge,,,abvd,abvd,asum1237,Asumboa
tani1255-five,tani1255,five,kavili,,,abvd,abvd,tani1255,Tanimbili
tani1255-hand,tani1255,hand,namba-ŋgu,,,abvd,abvd,tani1255,Tanimbili
hiww1237-five,hiww1237,five,toβo-yim,,,abvd,abvd,hiww1237,Hiw
hiww1237-hand,hiww1237,hand,mja-,,,abvd,abvd,hiww1237,Hiw
loto1240-five,loto1240,five,təβe-lim,,,abvd,abvd,loto1240,Toga
loto1240-hand,loto1240,hand,limo-k,,,abvd,abvd,loto1240,Toga
leha1243-five,leha1243,five,teβa-lem,,,abvd,abvd,leha1243,Lehali
leha1243-hand,leha1243,hand,bini-k,,,abvd,abvd,leha1243,Lehali
leha1244-five,leha1244,five,teveliem,,,barlowpacific,barlowpacific,leha1244,"Bligh Island, Ureparapara (Norbarbar)"
leha1244-hand,leha1244,hand,pene-k,,,abvd,abvd,leha1244,Löyöp
motl1237-five,motl1237,five,teβe-lem,,,abvd,abvd,motl1237,Mwotlap
motl1237-hand,motl1237,hand,na-mnɪ-k,,,abvd,abvd,motl1237,Mwotlap
mota1237-five,mota1237,five,lima,,,abvd,abvd,mota1237,Mota
mota1237-hand,mota1237,hand,pane-k,,,abvd,abvd,mota1237,Mota
leme1238-five,leme1238,five,eβe-lim,,,abvd,abvd,leme1238,Lemerig (Bek)
leme1238-hand,leme1238,hand,pænæ-n,,,abvd,abvd,leme1238,Lemerig
vera1241-five,vera1241,five,’evelem,,,barlowpacific,barlowpacific,vera1241,"Vanua Lava, Alo Teqel"
vera1241-hand,vera1241,hand,ᵐbini-k,,,abvd,abvd,vera1241,Vera'a (Vatrata)
vure1239-five,vure1239,five,teβe-lim,,,abvd,abvd,vure1239,Vurës (Mosina)
vure1239-hand,vure1239,hand,ᵐbeni-k,,,abvd,abvd,vetu1237,Vurës (Vetumboso)
nume1241-five,nume1241,five,tiβi-lim,,,abvd,abvd,nume1241,Nume
nume1241-hand,nume1241,hand,lima-k,,,abvd,abvd,nume1241,Nume
koro1308-five,koro1308,five,teβæ-lim,,,abvd,abvd,koro1308,Koro
koro1308-hand,koro1308,hand,ᵐbini-ŋ,,,abvd,abvd,koro1308,Koro
lako1245-five,lako1245,five,tiβi-lɪm,,,chan2019,chan2019,lako1245,"Lakona, Vanuatu"
lako1245-hand,lako1245,hand,lima-k,,,abvd,abvd,lako1245,Lakona
weta1242-five,weta1242,five,taβa-lim,,,abvd,abvd,weta1242,Wetamut
weta1242-hand,weta1242,hand,na-lmu-k,,,abvd,abvd,weta1242,Wetamut
merl1237-five,merl1237,five,tavalim,,,barlowpacific,barlowpacific,merl1237,"Star Island, Merlav"
merl1237-hand,merl1237,hand,lima-k,,,abvd,abvd,merl1237,Mwerlap (Merlav)
mari1426-five,mari1426,five,taβa-lima,,,abvd,abvd,mari1426,Marino
mari1426-hand,mari1426,hand,lima-ku,,,abvd,abvd,mari1426,Marino
cent2058-five,cent2058,five,lima,,,abvd,abvd,cent2058,Sungagage (Avavanvae)
cent2058-hand,cent2058,hand,lima,,,abvd,abvd,cent2058,Sungagage (Asanvari)
baet1237-five,baet1237,five,teβe-lima,,,abvd,abvd,baet1237,Baetora
baet1237-hand,baet1237,hand,lima,,,abvd,abvd,baet1237,Xalangi (Baetora)
east2443-five,east2443,five,lime,,,abvd,abvd,east2443,North Ambae (Leo)
east2443-hand,east2443,hand,lime,,,abvd,abvd,east2443,North Ambae (Leo)
west2513-five,west2513,five,ka-lima,,,abvd,abvd,west2513,"Ambae, West (Ngwatua)"
west2513-hand,west2513,hand,kaᵐba,,,abvd,abvd,wala1268,West Ambae (Walaha)
hano1246-five,hano1246,five,lima,,,abvd,abvd,hano1246,Raga
hano1246-hand,hano1246,hand,lima,,,abvd,abvd,hano1246,Raga
noku1237-five,noku1237,five,lima,,,abvd,abvd,noku1237,Nokuku
noku1237-hand,noku1237,hand,lima-ʔu,,,abvd,abvd,noku1237,Nokuku
piam1242-five,piam1242,five,lima,,,abvd,abvd,piam1242,Piamatsina
piam1242-hand,piam1242,hand,lima-,,,abvd,abvd,piam1242,Piamatsina
tasm1246-five,tasm1246,five,lima,,,abvd,abvd,tasm1246,Tasmate
tasm1246-hand,tasm1246,hand,lima-ku,,,abvd,abvd,tasm1246,Tasmate
valp1237-five,valp1237,five,lima,,,abvd,abvd,valp1237,Valpei (Hukua)
valp1237-hand,valp1237,hand,lima-ku,,,abvd,abvd,valp1237,Valpei (Hukua)
vuna1239-five,vuna1239,five,lima,,,abvd,abvd,vuna1239,Vunapu
vuna1239-hand,vuna1239,hand,lona-lima-ʔu,,,abvd,abvd,vuna1239,Vunapu
tolo1255-five,tolo1255,five,lina,,,barlowpacific,barlowpacific,tolo1255,"Espiritu Santo, Marina"
tolo1255-hand,tolo1255,hand,lina-,,,abvd,abvd,tolo1255,Tolomako
wusi1237-five,wusi1237,five,lima,,,abvd,abvd,wusi1237,Wusi (Nonona)
wusi1237-hand,wusi1237,hand,lima-,,,abvd,abvd,wusi1237,Wusi (Nonona)
mere1242-five,mere1242,five,lima,,,abvd,abvd,mera1242,Meramera
mere1242-hand,mere1242,hand,lima-,,,abvd,abvd,mere1242,Merei
navu1237-five,navu1237,five,lima,,,abvd,abvd,navu1237,Navut
navu1237-hand,navu1237,hand,lima-,,,abvd,abvd,navu1237,Navut
tial1239-five,tial1239,five,lima,,,abvd,abvd,tial1239,Tiale
tial1239-hand,tial1239,hand,lima,,,abvd,abvd,tial1239,Tiale
ambl1237-five,ambl1237,five,mo lima,,,chan2019,chan2019,ambl1237,"Amblong, Vanuatu"
ambl1237-hand,ambl1237,hand,farnum-luma-m,,,abvd,abvd,ambl1237,Amblong
moro1286-five,moro1286,five,lima,,,abvd,abvd,moro1286,Morouas
moro1286-hand,moro1286,hand,lima-ku,,,abvd,abvd,moro1286,Morouas (Batunlamak)
nara1263-five,nara1263,five,lima,,,abvd,abvd,nara1263,Narango (Nambel)
nara1263-hand,nara1263,hand,farlon luma-,,,abvd,abvd,nara1263,Narango (Nambel)
fort1240-five,fort1240,five,lima,,,abvd,abvd,fort1240,Fortsenal
fort1240-hand,fort1240,hand,lima-,,,abvd,abvd,fort1240,Fortsenal
akei1237-five,akei1237,five,lima,,,abvd,abvd,akei1237,Akei
akei1237-hand,akei1237,hand,lima-,,,abvd,abvd,akei1237,Akei
wail1242-five,wail1242,five,mo lima,,,abvd,abvd,wail1242,Wailapa
wail1242-hand,wail1242,hand,loloi-lima-ku,,,abvd,abvd,wail1242,Wailapa
lore1244-five,lore1244,five,linə,,,abvd,abvd,lore1244,Lorediakarkar
lore1244-hand,lore1244,hand,farsin bili-,,,abvd,abvd,lore1244,Lorediakarkar
shar1244-five,shar1244,five,line,,,abvd,abvd,shar1244,Shark Bay
shar1244-hand,shar1244,hand,pili-ŋ,,,abvd,abvd,shar1244,Shark Bay
mafe1237-five,mafe1237,five,lim̈a,,,abvd,abvd,mafe1237,Mafea
mafe1237-hand,mafe1237,hand,faraŋo,,,abvd,abvd,mafe1237,Mafea
tutu1241-five,tutu1241,five,e-lima,,,abvd,abvd,tutu1241,Tutuba
tutu1241-hand,tutu1241,hand,lima-,,,abvd,abvd,tutu1241,Tutuba
butm1237-five,butm1237,five,fi-lne,,,abvd,abvd,butm1237,Butmas-Tur (Tur)
butm1237-hand,butm1237,hand,loᵐbli-k,,,abvd,abvd,butm1237,Butmas-Tur (Tur)
polo1242-five,polo1242,five,fu-lni,,,abvd,abvd,polo1242,Polonombauk
polo1242-hand,polo1242,hand,loaβa-k,,,abvd,abvd,polo1242,Polonombauk
tamb1253-five,tamb1253,five,lina,,,abvd,abvd,tamb1253,Tambotalo
tamb1253-hand,tamb1253,hand,faraŋo-,,,abvd,abvd,tamb1253,Tambotalo
aore1237-five,aore1237,five,a lim̈a,,,abvd,abvd,aore1237,Aore
aore1237-hand,aore1237,hand,pisu-,,,abvd,abvd,aore1237,Aore
arak1252-five,arak1252,five,lim'a,,,abvd,abvd,arak1252,Araki (Southwest Santo)
arak1252-hand,arak1252,hand,lim'a,,,abvd,abvd,arak1252,Araki (Southwest Santo)
tang1347-five,tang1347,five,mo-lim̈a,,,abvd,abvd,tang1347,Tangoa
tang1347-hand,tang1347,hand,lim̈a,,,abvd,abvd,tang1347,Tangoa
rori1237-five,rori1237,five,nye-lni,,,abvd,abvd,rori1237,Roria
rori1237-hand,rori1237,hand,ⁿdisnio-,,,abvd,abvd,rori1237,Roria
malo1243-five,malo1243,five,a-lima,,,abvd,abvd,malo1243,Malo (North)
malo1243-hand,malo1243,hand,lima,,,abvd,abvd,malo1243,Malo (South)
saka1289-five,saka1289,five,kailime,,,abvd,abvd,port1296,South Ambae (Sakao)
saka1289-hand,saka1289,hand,limɛ,,,abvd,abvd,port1296,South Ambae (Sakao)
malu1245-five,malu1245,five,i-lim,,,abvd,abvd,malu1245,Malua Bay (Marasup)
malu1245-hand,malu1245,hand,nə-βəra-k,,,abvd,abvd,malu1245,Malua Bay
mpot1241-five,mpot1241,five,lima,,,chan2019,chan2019,mpot1241,"Morouas, Santo Island, Vanuatu"
mpot1241-hand,mpot1241,hand,na-βaraŋo-m,,,abvd,abvd,mpot1241,Mpotovoro
vaoo1237-five,vaoo1237,five,ɣe-lim̈e,,,abvd,abvd,vaoo1237,Vao
vaoo1237-hand,vaoo1237,hand,nim̈a-k,,,abvd,abvd,vaoo1237,Vao
nese1235-five,nese1235,five,line,,,abvd,abvd,nese1235,Nese (Matanvat)
nese1235-hand,nese1235,hand,navaɾ-,,,abvd,abvd,nese1235,Nese (Matanvat)
lare1249-five,lare1249,five,lum,,,abvd,abvd,lare1249,Larevat
lare1249-hand,lare1249,hand,n-ləβɣanəβa-ɣ,,,abvd,abvd,lare1249,Larevat
litz1237-five,litz1237,five,i-ləm,,,abvd,abvd,litz1237,Naman (Litzlitz)
litz1237-hand,litz1237,hand,nɪ-vɛru-,,,abvd,abvd,litz1237,Naman (Litzlitz)
vinm1237-five,vinm1237,five,i-lim,,,abvd,abvd,wini1242,Neve'ei (Vinmavis)
vinm1237-hand,vinm1237,hand,nɛ-vɛra-,,,abvd,abvd,wini1242,Neve'ei (Vinmavis)
ling1265-five,ling1265,five,i-lim,,,abvd,abvd,ling1265,Neverver (Lingarak - Sakan)
ling1265-hand,ling1265,hand,nɛ-vɛra-,,,abvd,abvd,ling1265,Neverver (Lingarak - Mindu)
bign1238-five,bign1238,five,i-lɪm,,,abvd,abvd,bign1238,Venen Taute (Alpalak)
bign1238-hand,bign1238,hand,lɪma-,,,abvd,abvd,bign1238,Venen Taute (Unmet)
mara1399-five,mara1399,five,i-lɪm,,,abvd,abvd,mara1399,Maraxus
mara1399-hand,mara1399,hand,lɪmɛ-,,,abvd,abvd,mara1399,Maraxus
maee1241-five,maee1241,five,i-lin,,,abvd,abvd,maee1241,Tirax (Mae B)
maee1241-hand,maee1241,hand,vra-,,,abvd,abvd,maee1241,Tirax (Mae B)
katb1237-five,katb1237,five,i-lim,,,abvd,abvd,katb1237,Avava (Bangaːsak)
katb1237-hand,katb1237,hand,fara-,,,abvd,abvd,katb1237,Avava (Tisvel)
dixo1238-five,dixo1238,five,i-lim,,,abvd,abvd,dixo1238,Salang (Dixon Reef)
dixo1238-hand,dixo1238,hand,fara-,,,abvd,abvd,dixo1238,Salang (Dixon Reef)
lete1241-five,lete1241,five,i-lme,,,abvd,abvd,lete1241,Natangan (Mbonvor) 162-86
lete1241-hand,lete1241,hand,var-,,,abvd,abvd,lete1241,Novol (Melaklak)
nasa1240-five,nasa1240,five,i-salœme,,,chan2019,chan2019,nasa1240,"Nasarian, Vanuatu"
nasa1240-hand,nasa1240,hand,a-vara-,,,abvd,abvd,nasa1240,Nasarian (Wileven tu)
navw1234-five,navw1234,five,i-lim,,,abvd,abvd,navw1234,Navwien 162-87
navw1234-hand,navw1234,hand,nɛ-vɛra-ŋk,,,abvd,abvd,navw1234,Navwien 162-87
